Iteration;Best Fitness;Average Fitness;Worst Fitness
1;-8760.87646445697;-58247.34259891794;-70000.77763668838
2;-8760.87646445697;-31793.746992407465;-54853.5489262941
3;-8729.27111286313;-14340.787656755689;-21303.351470056237
4;-8630.060493162251;-9835.468088899606;-12455.653086629143
5;-8355.424317391711;-8740.810369105915;-8760.87646445697
6;-8355.424317391711;-8669.588618527112;-8760.87646445697
7;-8355.424317391711;-8538.429109458484;-8630.060493162251
8;-8355.424317391711;-8376.671461403535;-8524.206210071303
9;-8355.424317391711;-8355.424317391711;-8355.424317391711
10;-8355.424317391711;-8355.424317391711;-8355.424317391711
11;-8355.424317391711;-8355.424317391711;-8355.424317391711
12;-8355.424317391711;-8355.424317391711;-8355.424317391711
13;-8355.424317391711;-8355.424317391711;-8355.424317391711
14;-8355.424317391711;-8355.424317391711;-8355.424317391711
15;-8355.424317391711;-8355.424317391711;-8355.424317391711
16;-8355.424317391711;-8355.424317391711;-8355.424317391711
17;-8355.424317391711;-8355.424317391711;-8355.424317391711
18;-8355.424317391711;-8355.424317391711;-8355.424317391711
19;-8355.424317391711;-8355.424317391711;-8355.424317391711
20;-8355.424317391711;-8355.424317391711;-8355.424317391711
21;-8355.424317391711;-8355.424317391711;-8355.424317391711
22;-8321.835806940291;-8355.088432287197;-8355.424317391711
23;-8321.835806940291;-8353.409006764625;-8355.424317391711
24;-8321.835806940291;-8343.668338733714;-8355.424317391711
25;-8321.835806940291;-8321.835806940291;-8321.835806940291
26;-8321.835806940291;-8321.835806940291;-8321.835806940291
27;-8321.835806940291;-8321.835806940291;-8321.835806940291
28;-8321.835806940291;-8321.835806940291;-8321.835806940291
29;-8321.835806940291;-8321.835806940291;-8321.835806940291
30;-8321.835806940291;-8321.835806940291;-8321.835806940291
31;-8321.835806940291;-8321.835806940291;-8321.835806940291
32;-8321.835806940291;-8321.835806940291;-8321.835806940291
33;-8321.835806940291;-8321.835806940291;-8321.835806940291
34;-8321.835806940291;-8321.835806940291;-8321.835806940291
35;-8321.835806940291;-8321.835806940291;-8321.835806940291
36;-8321.835806940291;-8321.835806940291;-8321.835806940291
37;-8321.835806940291;-8321.835806940291;-8321.835806940291
38;-8321.835806940291;-8321.835806940291;-8321.835806940291
39;-8321.835806940291;-8321.835806940291;-8321.835806940291
40;-8321.835806940291;-8321.835806940291;-8321.835806940291
41;-8321.835806940291;-8321.835806940291;-8321.835806940291
42;-8321.835806940291;-8321.835806940291;-8321.835806940291
43;-8321.835806940291;-8321.835806940291;-8321.835806940291
44;-8321.835806940291;-8321.835806940291;-8321.835806940291
45;-8321.835806940291;-8321.835806940291;-8321.835806940291
46;-8321.835806940291;-8321.835806940291;-8321.835806940291
47;-8321.835806940291;-8321.835806940291;-8321.835806940291
48;-8321.835806940291;-8321.835806940291;-8321.835806940291
49;-8321.835806940291;-8321.835806940291;-8321.835806940291
50;-8321.835806940291;-8321.835806940291;-8321.835806940291
51;-8321.835806940291;-8321.835806940291;-8321.835806940291
52;-8321.835806940291;-8321.835806940291;-8321.835806940291
53;-8321.835806940291;-8321.835806940291;-8321.835806940291
54;-8321.835806940291;-8321.835806940291;-8321.835806940291
55;-8321.835806940291;-8321.835806940291;-8321.835806940291
56;-8321.835806940291;-8321.835806940291;-8321.835806940291
57;-8321.835806940291;-8321.835806940291;-8321.835806940291
58;-8321.835806940291;-8321.835806940291;-8321.835806940291
59;-8321.835806940291;-8321.835806940291;-8321.835806940291
60;-8321.835806940291;-8321.835806940291;-8321.835806940291
61;-8321.835806940291;-8321.835806940291;-8321.835806940291
62;-8321.835806940291;-8321.835806940291;-8321.835806940291
