Iteration;Best Fitness;Average Fitness;Worst Fitness
1;-23360.400210195043;-66353.84199215895;-75442.21307457681
2;-16911.683560194342;-47703.61700544031;-63489.644014119345
3;-16911.683560194342;-29609.485156431645;-42718.32839745672
4;-14825.150067203293;-22008.330066967592;-25677.84689141463
5;-14825.150067203293;-18028.700852988568;-21074.80358765148
6;-13469.247893391763;-16428.168567888075;-17232.667457659772
7;-13469.247893391763;-14974.891825479419;-16008.993509411146
8;-12891.252714879716;-14099.605731545063;-14825.150067203293
9;-12891.252714879716;-13428.048661047853;-13469.247893391763
10;-12688.184209201689;-13275.174053634382;-13469.247893391763
11;-11839.677541125298;-12869.492478648068;-12891.252714879716
12;-11839.677541125298;-12782.771596920516;-12891.252714879716
13;-11839.677541125298;-12493.062262035766;-12688.184209201689
14;-11839.677541125298;-11896.783912448054;-12208.438020113055
15;-11839.677541125298;-11839.677541125298;-11839.677541125298
16;-11839.677541125298;-11839.677541125298;-11839.677541125298
17;-11839.677541125298;-11839.677541125298;-11839.677541125298
18;-11839.677541125298;-11839.677541125298;-11839.677541125298
19;-11839.677541125298;-11839.677541125298;-11839.677541125298
20;-11839.677541125298;-11839.677541125298;-11839.677541125298
21;-11839.677541125298;-11839.677541125298;-11839.677541125298
22;-11839.677541125298;-11839.677541125298;-11839.677541125298
23;-11839.677541125298;-11839.677541125298;-11839.677541125298
24;-11732.739785076476;-11838.60816356481;-11839.677541125298
25;-11732.739785076476;-11831.122520641393;-11839.677541125298
26;-11732.739785076476;-11804.388081629188;-11839.677541125298
27;-11732.739785076476;-11732.739785076476;-11732.739785076476
28;-11732.739785076476;-11732.739785076476;-11732.739785076476
29;-11732.739785076476;-11732.739785076476;-11732.739785076476
30;-11732.739785076476;-11732.739785076476;-11732.739785076476
31;-11732.739785076476;-11732.739785076476;-11732.739785076476
32;-11732.739785076476;-11732.739785076476;-11732.739785076476
33;-11732.739785076476;-11732.739785076476;-11732.739785076476
34;-11732.739785076476;-11732.739785076476;-11732.739785076476
35;-11732.739785076476;-11732.739785076476;-11732.739785076476
36;-11732.739785076476;-11732.739785076476;-11732.739785076476
37;-11732.739785076476;-11732.739785076476;-11732.739785076476
38;-11732.739785076476;-11732.739785076476;-11732.739785076476
39;-11732.739785076476;-11732.739785076476;-11732.739785076476
40;-11732.739785076476;-11732.739785076476;-11732.739785076476
41;-11732.739785076476;-11732.739785076476;-11732.739785076476
42;-11732.739785076476;-11732.739785076476;-11732.739785076476
43;-11732.739785076476;-11732.739785076476;-11732.739785076476
44;-11732.739785076476;-11732.739785076476;-11732.739785076476
45;-11732.739785076476;-11732.739785076476;-11732.739785076476
46;-11732.739785076476;-11732.739785076476;-11732.739785076476
47;-11732.739785076476;-11732.739785076476;-11732.739785076476
48;-11732.739785076476;-11732.739785076476;-11732.739785076476
49;-11732.739785076476;-11732.739785076476;-11732.739785076476
50;-11732.739785076476;-11732.739785076476;-11732.739785076476
51;-11732.739785076476;-11732.739785076476;-11732.739785076476
52;-11732.739785076476;-11732.739785076476;-11732.739785076476
53;-11732.739785076476;-11732.739785076476;-11732.739785076476
54;-11732.739785076476;-11732.739785076476;-11732.739785076476
55;-11732.739785076476;-11732.739785076476;-11732.739785076476
56;-11732.739785076476;-11732.739785076476;-11732.739785076476
57;-11732.739785076476;-11732.739785076476;-11732.739785076476
58;-11732.739785076476;-11732.739785076476;-11732.739785076476
59;-11732.739785076476;-11732.739785076476;-11732.739785076476
60;-11732.739785076476;-11732.739785076476;-11732.739785076476
61;-11732.739785076476;-11732.739785076476;-11732.739785076476
62;-11732.739785076476;-11732.739785076476;-11732.739785076476
63;-11732.739785076476;-11732.739785076476;-11732.739785076476
64;-11732.739785076476;-11732.739785076476;-11732.739785076476
65;-11732.739785076476;-11732.739785076476;-11732.739785076476
66;-11732.739785076476;-11732.739785076476;-11732.739785076476
67;-11732.739785076476;-11732.739785076476;-11732.739785076476
68;-11732.739785076476;-11732.739785076476;-11732.739785076476
69;-11732.739785076476;-11732.739785076476;-11732.739785076476
70;-11732.739785076476;-11732.739785076476;-11732.739785076476
71;-11732.739785076476;-11732.739785076476;-11732.739785076476
72;-11732.739785076476;-11732.739785076476;-11732.739785076476
73;-11732.739785076476;-11732.739785076476;-11732.739785076476
74;-11732.739785076476;-11732.739785076476;-11732.739785076476
75;-11732.739785076476;-11732.739785076476;-11732.739785076476
76;-11732.739785076476;-11732.739785076476;-11732.739785076476
77;-11732.739785076476;-11732.739785076476;-11732.739785076476
78;-11732.739785076476;-11732.739785076476;-11732.739785076476
79;-11732.739785076476;-11732.739785076476;-11732.739785076476
80;-11732.739785076476;-11732.739785076476;-11732.739785076476
81;-11732.739785076476;-11732.739785076476;-11732.739785076476
82;-11732.739785076476;-11732.739785076476;-11732.739785076476
83;-11732.739785076476;-11732.739785076476;-11732.739785076476
84;-11732.739785076476;-11732.739785076476;-11732.739785076476
85;-11732.739785076476;-11732.739785076476;-11732.739785076476
86;-11732.739785076476;-11732.739785076476;-11732.739785076476
87;-11732.739785076476;-11732.739785076476;-11732.739785076476
88;-11732.739785076476;-11732.739785076476;-11732.739785076476
89;-11732.739785076476;-11732.739785076476;-11732.739785076476
90;-11732.739785076476;-11732.739785076476;-11732.739785076476
91;-11732.739785076476;-11732.739785076476;-11732.739785076476
92;-11732.739785076476;-11732.739785076476;-11732.739785076476
93;-11732.739785076476;-11732.739785076476;-11732.739785076476
94;-11732.739785076476;-11732.739785076476;-11732.739785076476
95;-11732.739785076476;-11732.739785076476;-11732.739785076476
96;-11732.739785076476;-11732.739785076476;-11732.739785076476
97;-11732.739785076476;-11732.739785076476;-11732.739785076476
98;-11732.739785076476;-11732.739785076476;-11732.739785076476
99;-11732.739785076476;-11732.739785076476;-11732.739785076476
100;-11732.739785076476;-11732.739785076476;-11732.739785076476
