Iteration;Best Fitness;Average Fitness;Worst Fitness
1;2850.5542318508224;466.8160175683032;-765.9296198948659
2;3502.770618984322;1888.706063030246;736.1033833277947
3;3681.5782861899443;2665.7451981932904;2181.546487221159
4;3681.5782861899443;3120.987422810447;2763.4091505518695
5;4230.373086955262;3473.2922976816685;3245.208103792551
6;4260.141832884202;3628.517235766903;3502.770618984322
7;4335.499065505921;3865.9840191571643;3596.3187956023557
8;4335.499065505921;4213.376502582447;4095.446235519389
9;4355.228267298367;4283.642898542838;4230.373086955262
10;4400.15616503917;4331.769381233216;4303.299859815552
11;4404.611500860112;4350.837547394167;4335.499065505921
12;4408.312355648561;4381.562358578681;4355.228267298367
13;4408.312355648561;4401.229736315657;4397.218811439267
14;4408.312355648561;4404.851212393219;4400.15616503917
15;4410.479278450811;4407.762287167014;4404.611500860112
16;4410.479278450811;4408.420701788673;4408.312355648561
17;4410.479278450811;4408.706348236112;4408.312355648561
18;4413.446145801689;4409.627433335543;4408.312355648561
19;4414.726931360123;4410.6700983474475;4410.479278450811
20;4414.726931360123;4411.369987624638;4410.479278450811
21;4414.726931360123;4413.533962689705;4410.479278450811
22;4414.726931360123;4414.726931360123;4414.726931360123
23;4414.726931360123;4414.726931360123;4414.726931360123
24;4414.726931360123;4414.726931360123;4414.726931360123
25;4414.726931360123;4414.726931360123;4414.726931360123
26;4414.726931360123;4414.726931360123;4414.726931360123
27;4414.726931360123;4414.726931360123;4414.726931360123
28;4414.726931360123;4414.726931360123;4414.726931360123
29;4414.726931360123;4414.726931360123;4414.726931360123
30;4414.726931360123;4414.726931360123;4414.726931360123
31;4414.726931360123;4414.726931360123;4414.726931360123
32;4414.726931360123;4414.726931360123;4414.726931360123
33;4414.726931360123;4414.726931360123;4414.726931360123
34;4414.726931360123;4414.726931360123;4414.726931360123
35;4414.726931360123;4414.726931360123;4414.726931360123
36;4414.726931360123;4414.726931360123;4414.726931360123
37;4414.726931360123;4414.726931360123;4414.726931360123
38;4414.726931360123;4414.726931360123;4414.726931360123
39;4414.726931360123;4414.726931360123;4414.726931360123
40;4414.726931360123;4414.726931360123;4414.726931360123
41;4414.726931360123;4414.726931360123;4414.726931360123
42;4414.726931360123;4414.726931360123;4414.726931360123
43;4414.726931360123;4414.726931360123;4414.726931360123
44;4414.726931360123;4414.726931360123;4414.726931360123
45;4414.726931360123;4414.726931360123;4414.726931360123
46;4414.726931360123;4414.726931360123;4414.726931360123
47;4414.726931360123;4414.726931360123;4414.726931360123
48;4414.726931360123;4414.726931360123;4414.726931360123
49;4414.726931360123;4414.726931360123;4414.726931360123
50;4414.726931360123;4414.726931360123;4414.726931360123
51;4414.726931360123;4414.726931360123;4414.726931360123
52;4414.726931360123;4414.726931360123;4414.726931360123
53;4414.726931360123;4414.726931360123;4414.726931360123
54;4414.726931360123;4414.726931360123;4414.726931360123
55;4414.726931360123;4414.726931360123;4414.726931360123
56;4414.726931360123;4414.726931360123;4414.726931360123
57;4414.726931360123;4414.726931360123;4414.726931360123
58;4414.726931360123;4414.726931360123;4414.726931360123
59;4414.726931360123;4414.726931360123;4414.726931360123
60;4414.726931360123;4414.726931360123;4414.726931360123
61;4414.726931360123;4414.726931360123;4414.726931360123
62;4414.726931360123;4414.726931360123;4414.726931360123
63;4414.726931360123;4414.726931360123;4414.726931360123
64;4414.726931360123;4414.726931360123;4414.726931360123
65;4414.726931360123;4414.726931360123;4414.726931360123
66;4414.726931360123;4414.726931360123;4414.726931360123
67;4414.726931360123;4414.726931360123;4414.726931360123
68;4414.726931360123;4414.726931360123;4414.726931360123
69;4414.726931360123;4414.726931360123;4414.726931360123
70;4414.726931360123;4414.726931360123;4414.726931360123
71;4414.726931360123;4414.726931360123;4414.726931360123
72;4414.726931360123;4414.726931360123;4414.726931360123
73;4414.726931360123;4414.726931360123;4414.726931360123
74;4414.726931360123;4414.726931360123;4414.726931360123
75;4414.726931360123;4414.726931360123;4414.726931360123
76;4414.726931360123;4414.726931360123;4414.726931360123
77;4414.726931360123;4414.726931360123;4414.726931360123
78;4414.726931360123;4414.726931360123;4414.726931360123
79;4414.726931360123;4414.726931360123;4414.726931360123
80;4414.726931360123;4414.726931360123;4414.726931360123
81;4414.726931360123;4414.726931360123;4414.726931360123
82;4414.726931360123;4414.726931360123;4414.726931360123
83;4414.726931360123;4414.726931360123;4414.726931360123
84;4414.726931360123;4414.726931360123;4414.726931360123
85;4414.726931360123;4414.726931360123;4414.726931360123
86;4414.726931360123;4414.726931360123;4414.726931360123
87;4414.726931360123;4414.726931360123;4414.726931360123
88;4414.726931360123;4414.726931360123;4414.726931360123
89;4414.726931360123;4414.726931360123;4414.726931360123
90;4414.726931360123;4414.726931360123;4414.726931360123
91;4414.726931360123;4414.726931360123;4414.726931360123
92;4414.726931360123;4414.726931360123;4414.726931360123
93;4414.726931360123;4414.726931360123;4414.726931360123
94;4414.726931360123;4414.726931360123;4414.726931360123
95;4414.726931360123;4414.726931360123;4414.726931360123
96;4414.726931360123;4414.726931360123;4414.726931360123
97;4414.726931360123;4414.726931360123;4414.726931360123
98;4414.726931360123;4414.726931360123;4414.726931360123
99;4414.726931360123;4414.726931360123;4414.726931360123
100;4414.726931360123;4414.726931360123;4414.726931360123
